Porcentagem de Treino,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
0.2,2008-2009,0.71,-,0.69,-
0.2,2009-2010,0.61,-,0.62,-
0.2,2011-2012,0.68,-,0.69,-
0.2,2012-2013,0.71,-,0.71,-
0.2,2013-2014,0.70,-,0.69,-
0.2,2014-2015,0.71,-,0.70,-
0.2,2015-2016,0.69,-,0.69,-
0.2,2016-2017,0.67,-,0.66,-
0.2,2018-2019,0.62,-,0.62,-
0.2,2019-2020,0.71,-,0.71,-
0.2,2020-2021,0.74,-,0.74,-
0.2,2021-2022,0.71,-,0.71,-
0.2,2022-2023,0.70,-,0.70,-
0.2,2023-2024,0.69,-,0.69,-
0.2,-,0.69,0.04,0.69,0.03
0.4,2008-2009,0.79,-,0.80,-
0.4,2009-2010,0.70,-,0.71,-
0.4,2011-2012,0.66,-,0.53,-
0.4,2012-2013,0.71,-,0.72,-
0.4,2013-2014,0.73,-,0.73,-
0.4,2014-2015,0.79,-,0.79,-
0.4,2015-2016,0.46,-,0.31,-
0.4,2016-2017,0.71,-,0.71,-
0.4,2018-2019,0.70,-,0.70,-
0.4,2019-2020,0.71,-,0.71,-
0.4,2020-2021,0.72,-,0.72,-
0.4,2021-2022,0.73,-,0.74,-
0.4,2022-2023,0.68,-,0.67,-
0.4,2023-2024,0.77,-,0.77,-
0.4,-,0.70,0.08,0.69,0.12
0.5,2008-2009,0.84,-,0.84,-
0.5,2009-2010,0.68,-,0.69,-
0.5,2011-2012,0.73,-,0.73,-
0.5,2012-2013,0.73,-,0.73,-
0.5,2013-2014,0.70,-,0.70,-
0.5,2014-2015,0.77,-,0.76,-
0.5,2015-2016,0.73,-,0.73,-
0.5,2016-2017,0.72,-,0.72,-
0.5,2018-2019,0.55,-,0.55,-
0.5,2019-2020,0.76,-,0.76,-
0.5,2020-2021,0.75,-,0.75,-
0.5,2021-2022,0.70,-,0.68,-
0.5,2022-2023,0.70,-,0.70,-
0.5,2023-2024,0.72,-,0.72,-
0.5,-,0.72,0.06,0.72,0.06
0.6,2008-2009,0.83,-,0.83,-
0.6,2009-2010,0.68,-,0.68,-
0.6,2011-2012,0.76,-,0.76,-
0.6,2012-2013,0.73,-,0.74,-
0.6,2013-2014,0.65,-,0.65,-
0.6,2014-2015,0.78,-,0.78,-
0.6,2015-2016,0.70,-,0.70,-
0.6,2016-2017,0.69,-,0.69,-
0.6,2018-2019,0.62,-,0.63,-
0.6,2019-2020,0.61,-,0.50,-
0.6,2020-2021,0.79,-,0.78,-
0.6,2021-2022,0.77,-,0.77,-
0.6,2022-2023,0.66,-,0.67,-
0.6,2023-2024,0.76,-,0.76,-
0.6,-,0.72,0.06,0.71,0.08
0.8,2008-2009,0.73,-,0.73,-
0.8,2009-2010,0.52,-,0.53,-
0.8,2011-2012,0.75,-,0.75,-
0.8,2012-2013,0.79,-,0.79,-
0.8,2013-2014,0.70,-,0.70,-
0.8,2014-2015,0.74,-,0.73,-
0.8,2015-2016,0.71,-,0.71,-
0.8,2016-2017,0.65,-,0.65,-
0.8,2018-2019,0.68,-,0.69,-
0.8,2019-2020,0.71,-,0.71,-
0.8,2020-2021,0.78,-,0.78,-
0.8,2021-2022,0.74,-,0.74,-
0.8,2022-2023,0.67,-,0.67,-
0.8,2023-2024,0.77,-,0.77,-
0.8,-,0.71,0.07,0.71,0.06
0.9,2008-2009,0.62,-,0.64,-
0.9,2009-2010,0.41,-,0.41,-
0.9,2011-2012,0.72,-,0.73,-
0.9,2012-2013,0.71,-,0.71,-
0.9,2013-2014,0.69,-,0.65,-
0.9,2014-2015,0.59,-,0.56,-
0.9,2015-2016,0.69,-,0.64,-
0.9,2016-2017,0.54,-,0.54,-
0.9,2018-2019,0.73,-,0.74,-
0.9,2019-2020,0.86,-,0.86,-
0.9,2020-2021,0.85,-,0.85,-
0.9,2021-2022,0.90,-,0.90,-
0.9,2022-2023,0.62,-,0.62,-
0.9,2023-2024,0.77,-,0.77,-
0.9,-,0.69,0.13,0.69,0.13
